pid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
1213275,1612007337,1612007393,1,0.16,Woodside,Woodside,Cash,3.0,0.0,3.8
674480,1610966236,1610966946,1,2.8,Clinton East,Meatpacking/West Village West,Credit Card,11.5,2.8,17.6
206140,1609964773,1609965243,1,1.17,Upper East Side North,Upper East Side South,Credit Card,7.5,1.0,12.3
1132077,1611848775,1611849028,1,0.8,Upper West Side South,Upper West Side North,Credit Card,5.0,1.5,9.8
753305,1611127680,1611128111,1,1.42,East Harlem South,Central Harlem,Cash,7.5,0.0,8.3
381441,1610364873,1610365634,1,1.22,Yorkville East,Lenox Hill East,Cash,9.5,0.0,12.8
989779,1611586734,1611588071,6,3.49,Upper East Side North,Central Harlem North,Cash,16.5,0.0,19.8
1054246,1611729080,1611729424,2,1.18,Penn Station/Madison Sq West,Murray Hill,Cash,6.0,0.0,9.3
618138,1610805916,1610806276,1,1.54,Hudson Sq,Flatiron,Cash,7.0,0.0,10.3
1193572,1611941525,1611941687,1,0.47,Murray Hill,Murray Hill,Credit Card,4.0,0.7,9.0
1146925,1611863305,1611863556,1,1.16,Upper West Side North,East Harlem South,Dispute,-5.5,0.0,-7.3
7525,1609502073,1609502343,1,1.08,Clinton East,Sutton Place/Turtle Bay North,Cash,5.5,0.0,8.8
907507,1611406463,1611406778,1,1.4,Sutton Place/Turtle Bay North,Kips Bay,Credit Card,6.0,0.93,10.23
831668,1611249061,1611250362,1,4.17,Hudson Sq,Upper East Side South,Cash,16.5,0.0,20.8
972647,1611568248,1611568828,1,2.28,Sutton Place/Turtle Bay North,Yorkville West,Credit Card,9.5,2.56,15.36
49353,1609617012,1609619677,1,13.9,Clinton East,Richmond Hill,Credit Card,44.5,1.0,48.8
487457,1610555353,1610555570,1,0.5,Lenox Hill West,Lenox Hill East,Credit Card,4.5,2.2,11.0
766117,1611147580,1611148191,1,1.9,Manhattan Valley,Central Park,Cash,9.0,0.0,12.3
339739,1610235056,1610235615,1,4.48,Kips Bay,Williamsburg (South Side),Cash,14.0,0.0,17.8
1099956,1611782488,1611782947,1,1.47,Manhattan Valley,Central Harlem,Credit Card,7.5,2.64,11.44
626557,1610818704,1610819740,1,3.6,SoHo,Kips Bay,Credit Card,15.0,3.65,21.95
603418,1610777104,1610777494,1,3.0,Lenox Hill West,Long Island City/Queens Plaza,Cash,10.0,0.0,13.3
527797,1610635589,1610636394,1,1.7,Upper West Side South,Midtown North,Cash,10.5,0.0,13.8
409442,1610401639,1610401916,1,0.92,Penn Station/Madison Sq West,Murray Hill,Credit Card,5.0,1.76,10.56
159556,1609874997,1609875444,1,1.46,Midtown North,Penn Station/Madison Sq West,Credit Card,7.0,2.26,13.56
938912,1611477886,1611478669,1,3.48,Midtown East,West Village,Cash,12.0,0.0,15.3
597209,1610741356,1610742152,1,2.4,Greenwich Village South,East Chelsea,Cash,11.0,0.0,14.8
343536,1610274278,1610275701,1,6.79,Lincoln Square East,Middle Village,Cash,23.0,0.0,26.3
320893,1610205234,1610205584,1,1.95,Lincoln Square East,Manhattan Valley,Credit Card,7.5,2.7,13.5
543852,1610648006,1610648531,1,1.29,Murray Hill,West Chelsea/Hudson Yards,Credit Card,7.5,1.5,13.3
318756,1610203678,1610204191,1,1.17,Murray Hill,Union Sq,Credit Card,7.5,2.16,12.96
363409,1610307127,1610307962,6,1.93,Lenox Hill East,Central Park,Cash,11.0,0.0,14.3
1125647,1611843959,1611844874,1,2.1,UN/Turtle Bay South,Greenwich Village North,Cash,11.5,0.0,14.8
825840,1611243308,1611243999,5,1.72,Greenwich Village South,West Chelsea/Hudson Yards,Credit Card,9.0,2.46,14.76
575735,1610719628,1610719882,1,0.66,Penn Station/Madison Sq West,Midtown South,Credit Card,4.5,1.56,9.36
653399,1610894700,1610896814,6,11.72,LaGuardia Airport,Crown Heights North,Credit Card,36.0,7.36,44.16
1118600,1611837291,1611838041,1,2.6,Greenwich Village North,Sutton Place/Turtle Bay North,Cash,11.0,0.0,14.3
1246466,1612088430,1612088905,1,1.24,Upper East Side North,Lenox Hill East,Cash,7.0,0.0,10.3
1006951,1611608942,1611609666,1,2.83,Penn Station/Madison Sq West,Little Italy/NoLiTa,Cash,11.5,0.0,15.3
117412,1609793174,1609793567,4,1.48,Upper West Side North,Upper West Side South,Credit Card,7.0,1.0,11.8
1182042,1611935618,1611935869,0,0.7,Union Sq,West Village,Credit Card,5.0,1.65,9.95
218490,1610017042,1610017219,1,0.4,Lincoln Square West,Upper West Side South,Cash,4.0,0.0,7.3
253508,1610056705,1610057064,1,1.8,Yorkville West,Sutton Place/Turtle Bay North,Credit Card,7.5,2.25,13.55
829207,1611248062,1611248786,2,2.6,West Chelsea/Hudson Yards,SoHo,Credit Card,11.0,1.0,16.3
52652,1609622535,1609623011,1,1.25,Upper East Side South,Midtown North,Credit Card,7.0,3.24,14.04
380575,1610365151,1610365426,1,1.0,Clinton East,Garment District,Credit Card,5.5,2.2,11.0
1171077,1611923478,1611924916,1,9.75,Upper East Side North,Fort Greene,Credit Card,30.0,1.0,34.3
850412,1611304683,1611305300,1,0.94,Yorkville East,Upper East Side North,Cash,7.5,0.0,10.8
1128825,1611845284,1611845487,1,0.37,Upper East Side North,Upper East Side North,Cash,4.0,0.0,7.3
705841,1611042570,1611043026,2,1.6,West Village,West Chelsea/Hudson Yards,Credit Card,8.0,2.8,14.1
864084,1611320105,1611320500,1,0.79,Chinatown,World Trade Center,Cash,6.0,0.0,9.3
479290,1610548033,1610548556,1,2.8,Murray Hill,Lower East Side,Cash,10.5,0.0,13.8
20462,1609531510,1609532674,1,4.8,Kips Bay,Roosevelt Island,Credit Card,16.0,4.8,24.1
238014,1610034418,1610034698,1,0.68,Times Sq/Theatre District,Lincoln Square East,Credit Card,5.0,1.66,9.96
1089631,1611767101,1611767116,1,0.0,East Village,East Village,No charge,-2.5,0.0,-6.8
743855,1611079461,1611080015,1,2.1,Upper West Side South,Central Harlem,Cash,9.0,0.0,13.3
711536,1611049291,1611049530,1,0.5,Union Sq,Midtown South,Credit Card,4.5,1.55,9.35
704684,1611039410,1611039766,1,0.9,Murray Hill,Penn Station/Madison Sq West,Credit Card,6.0,0.0,9.3
449652,1610475927,1610476568,1,2.28,Upper East Side South,Penn Station/Madison Sq West,Credit Card,10.0,2.0,16.3
1103149,1611814465,1611815161,1,3.1,Garment District,Upper East Side North,Cash,12.0,0.0,15.3
211966,1610005498,1610006313,5,4.0,Clinton East,East Harlem North,Credit Card,14.0,5.19,22.49
216117,1610010059,1610010699,2,2.42,Penn Station/Madison Sq West,Upper East Side South,Cash,10.0,0.0,13.3
1231383,1612027958,1612028384,1,1.21,Lincoln Square West,Clinton East,Cash,6.5,0.0,9.8
652372,1610894986,1610896025,1,5.2,Upper West Side North,Washington Heights South,Credit Card,18.5,6.5,28.3
224202,1610018423,1610019252,1,3.25,East Harlem South,Midtown Center,Credit Card,13.5,3.36,20.16
466817,1610533093,1610533388,1,1.09,West Chelsea/Hudson Yards,Clinton East,Credit Card,5.5,1.76,10.56
627807,1610816743,1610817405,1,2.09,Midtown Center,Greenwich Village North,Credit Card,9.5,2.56,15.36
211505,1610004639,1610004944,1,1.61,East Village,Midtown South,Credit Card,6.5,1.96,11.76
943558,1611486080,1611486310,1,0.94,Upper East Side North,Central Park,Credit Card,5.0,1.0,9.3
480110,1610546861,1610547389,1,1.8,Upper West Side South,Manhattan Valley,Credit Card,8.5,2.35,14.15
578009,1610722081,1610722587,2,1.1,East Village,Little Italy/NoLiTa,Cash,7.5,0.0,10.8
75007,1609699186,1609699536,2,2.87,Kips Bay,Two Bridges/Seward Park,Cash,10.0,0.0,13.3
832238,1611251900,1611252807,1,2.8,Midtown South,Upper West Side South,Credit Card,12.5,3.36,20.16
